橙天嘉禾影城(凤凰城店),朝阳区曙光西里甲5号院24号楼凤凰汇三层
橙天嘉禾影城(吉彩店),海淀区玉海园五里22号配套商业楼（原吉彩体育馆）
橙天嘉禾影城(上地店),海淀区上地南口华联商厦4F
橙天嘉禾影城(万柳店),海淀区巴沟路2号华联万柳购物中心5层
橙天嘉禾影城(祥云小镇店),顺义区安泰大街9号院7号楼二层（祥云小镇内）
17.5影城(今典花园店),海淀区文慧园路9号今典花园9号楼空间蒙太奇大厦1层
传奇瑞丽影城,怀柔区青春路15号四层
卢米埃影城(长楹天街IMAX店),朝阳区朝阳北路长楹天街购物中心东区5F-09
传奇奢华影城,东城区东打磨厂街7号新活馆B1层
卢米埃影城(万科店),大兴区忠凉路万科广场5层
传奇时代影城(蓝色港湾店),朝阳区朝阳公园路6号蓝色港湾国际商区SA-42（朝阳公园西北角）
美嘉欢乐影城(三里屯店),朝阳区三里屯太古里地下一层（三里屯酒吧街南口西侧）
大地数字影院(望京新天地店),朝阳区望京阜安西街11号楼合生麒麟新天地2层
门头沟影剧院,门头沟区新桥大街12号
大地影院(昌平菓岭店),昌平区昌崔路203号果岭假日广场四楼
米瑞酷影城(密云店),密云县密云区鼓楼南大街10号瑞嘉商场4层
大地影院(大红门欣雅汇店),丰台区果园8号楼（木樨园桥西南角）合生广场6层
米瑞酷影城(日坛店),朝阳区神路街39号b座-1层
大地影院(米拉店),通州区马驹桥新海东路1号（豪润生活广场7层）
平谷区影剧院,平谷区府前街3号
大地影院(十里河铭泽影院 ),朝阳区西大望南路与弘燕南一路交叉口铭泽生活广场5层
青少年剧场,丰台区西四环南路86号
大地影院(顺义隆华店),顺义区新顺南大街11号隆华购物中心6F
世贸天阶中影星美国际影城,朝阳区光华路9号世贸天阶商业南街B1层
大地影院(西三旗物美店),海淀区悦秀路99号二层
首都电影院(西单店),西城区西单北大街131号大悦城10楼（近西单苹果店）
大地影院(延庆金锣湾店),延庆县妫水北街39号1幢H座首楼金锣湾商业中心沃尔玛旁
首都电影院(中华店),西城区天桥南大街3号楼一层、二层
大地影院(垡头永辉店),朝阳区南杨庄路与武基街交叉口西南方向50米路南（垡头永辉超市，翠城馨园401号楼地下一层）
搜秀影城,东城区崇外大街40号搜秀城9层
大观楼电影院,西城区前门大街大栅栏街36号
天幕新彩云国际影城,海淀区北三环中路中视云投大厦
大料国际影城(创意生活广场店),大兴区亦庄经济开发区文化园东路6号创意生活广场三层
完美世界影城(17.5比如店),朝阳区京顺路111号比如世界购物中心1层（近太阳宫北街）
大兴影剧院,大兴区黄村西大街15号
完美世界影城(17.5今日店),海淀区西翠路5号今日家园8号楼苏宁电器地下一层（太平路沃尔玛超市旁）
地质礼堂,西城区西四羊肉胡同30号（中国地质博物馆南侧）
万达国际影城(CBD店),朝阳区建国路93号万达广场B座3层
东都影城,朝阳区东四环中路195号华腾新天地五层
万达国际影城(石景山店),石景山区石景山路乙18号万达广场娱乐楼4楼
东宫影剧院,东城区隆福寺街47号东四工人文化宫
万达影城(丰台店),丰台区丰科路6号万达广场6层
东环影城,东城区东中街9号东环广场B座B1楼
万画影城(四季青店),海淀区西四环北路金四季购物中心中段三层B003
东融国际影城(草桥店),丰台区草桥东路1号上品折扣3层
沃美影城(常营店),朝阳区朝阳北路17号北京华联购物中心四层（常营华联）
工人俱乐部电影院,西城区虎坊路口南7号
五道口工人俱乐部电影院,海淀区成府路23号（近五道口城铁站）
古城电影院,石景山区古城南路15号
新华国际影城(宝盛店),海淀区宝盛北里西区28号兴美生活广场5层
广安门电影院,西城区白广路8号
新华国际影城(大钟寺店),海淀区北三环18号院大钟寺中坤广场C座3层（地铁13号线大钟寺站出站即到）
国宾菁英电影院,西城区月坛南街24号（近万方商场）
新影联·华谊兄弟影院(望京店),朝阳区广顺北大街16号望京华彩商业中心B1a
国图影院,海淀区中关村南大街33号国家图书馆内
星美国际影城(分钟寺店),丰台区南三环东路成寿寺路2号新业广场2楼
海淀工人文化宫,海淀区万柳华府北街2号（万柳华联商城南门对面）
星美国际影城(金源店),海淀区远大路1号金源时代购物中心5楼东首（近蓝靛厂北路）
海淀剧院,海淀区中关村大街28号
海航文化天宝国际影城,朝阳区祁家豁子8号健翔大厦家乐福超市B1层
星美国际影城(西红门店),大兴区西红门镇京良路10号乐家购物中心B区3层
横店电影城(王府井店),东城区王府井大街251-253号8层
幸福蓝海国际影城(北京公益桥店),丰台区角门路19号院2号楼华冠天地4层（原大万广场）
恒业国际影城(六里桥店),丰台区万丰路（地铁9号线、10号线六里桥站）银座和谐广场购物中心5F
燕山影剧院,房山区燕山岗南路3号
红星太平洋电影城(爱琴海购物中心店),朝阳区七圣中街12号院爱琴海购物中心6层
耀莱成龙国际影城(慈云寺店),朝阳区慈云寺北里209号未来汇二层（未来汇广场）
华彩恐龙主题影城,顺义区后沙峪九重汇8层
耀莱成龙国际影城(马连道店),西城区马连道路25号新年华生活购物广场5层
华联国际影城(平谷店),平谷区迎宾路1号院22号楼五层F5-13
耀莱成龙国际影城(温泉镇店),海淀区温泉镇北部文化中心D座
华夏天合国际影城,通州区台湖镇定海园二里15号楼新城商厦4层
耀莱成龙国际影城(西红门店),大兴区欣旺北大街8号鸿坤广场6层（地铁4号线西红门站Ｂ口向东４００米路北）
华谊兄弟电影汇,朝阳区新源南路甲2号华谊兄弟办公楼首层
正华影城,丰台区宋家庄顺八条4号政馨园三区5号楼底商正华商城地下一层
华谊兄弟影院(洋桥店),丰台区马家堡东路101号院10号银泰百货6层
中国木偶艺术剧院,朝阳区安华西里甲1号
怀柔环球国际影城,怀柔区开放路泉河园二区和谐置家一层下元市场北
中影电影院(小西天店),海淀区新街口外大街25号（小西天牌楼北侧）
环球国际影城,房山区兴房大街38号华冠欢乐城四楼
中影国际影城(丰台千禧街店),丰台区靛场路千禧商业街4号楼
嘉华国际影城(活力东方店),朝阳区姚家园路甲1号活力东方奥特莱斯购物中心4楼
中影国际影城(石榴中心店),丰台区榴乡路88号院石榴中心斯坦福广场B1层
嘉华国际影城(学清路店),海淀区学清路甲8号圣熙8号购物中心5层西侧（学清路）
最影城,大兴区兴华大街百联清城购物中心3层北侧
嘉美国际影城(旧宫店),大兴区旧宫小红门路39号
金鸡百花影城,朝阳区北三环东路22号
金逸影城(朝阳大悦城IMAX店),朝阳区朝阳北路101号朝阳大悦城商场8层
金逸影城(双桥店),朝阳区双桥路3号东星时尚广场5层
金逸影城(新都店),海淀区西三旗建材城中路6号新都购物广场1层
金逸影城(中关村店),海淀区中关村大街19号新中关购物中心B1层
金逸影城(荟聚IMAX店),大兴区欣宁街荟聚购物中心3层（地铁4号线西红门站A西出口站）
劲松电影院,朝阳区劲松中街404号
莱纳恒泰影城,丰台区丰台北路18号恒泰广场E座6层
牛仔汽车电影院,通州区台湖镇创业园路8号（近京沈高速台湖入口）
东城图书馆影剧院,东城区交道口东大街85号区图书馆1楼
北京青年宫,西城区西直门南小街68号
